"PVWatts Hourly PV Performance Data"
"Requested Location","52242, USA"
"Location","Lat, Lng: 41.65, -91.54"
"Latitude (DD)","41.65"
"Longitude (DD)","-91.54"
"Elevation (m)","207.75999450684"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","30"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","11","21","0","0","-3","1.8","0.87","0","-3","0","0"
"1","11","22","0","0","-3","2.1","0.87","0","-3","0","0"
"1","11","23","0","0","-3","2.1","0.87","0","-3","0","0"
"1","12","0","0","0","-3","2.1","0.87","0","-3","0","0"
"1","12","1","0","0","-2","2.5","0.87","0","-2","0","0"
"1","12","2","0","0","-2","2.9","0.87","0","-2","0","0"
"1","12","3","0","0","-2","2.8","0.87","0","-2","0","0"
"1","12","4","0","0","-2","2.4","0.87","0","-2","0","0"
"1","12","5","0","0","-2","1.9","0.87","0","-2","0","0"
"1","12","6","0","0","-3","1.5","0.87","0","-3","0","0"
"1","12","7","0","0","-2","1.8","0.87","0","-2","0","0"
"1","12","8","506","42","0","1.9","0.87","251.968","6.218","886.103","838.851"
"1","12","9","0","98","0","1.5","0.87","96.363","2.61","341.886","313.917"
"1","12","10","121","162","1","1.5","0.87","279.628","8.591","1010.799","959.128"
"1","12","11","10","158","2","1.9","0.87","163.402","6.055","579.87","543.469"
"1","12","12","99","197","3","2.6","0.87","298.827","9.491","1071.518","1017.695"
"1","12","13","4","143","2","3.1","0.87","142.692","4.838","506.908","473.092"
"1","12","14","0","82","1","3","0.87","76.223","2.543","268.122","242.767"
"1","12","15","354","96","0","2.6","0.87","317.721","6.922","1164.097","1106.994"
"1","12","16","62","27","0","2.9","0.87","59.313","1.047","134.69","114.063"
"1","12","17","0","0","0","3.4","0.87","0","0","0","0"
"1","12","18","0","0","-1","3.5","0.87","0","-1","0","0"
"1","12","19","0","0","-1","3.6","0.87","0","-1","0","0"
"1","12","20","0","0","-1","3.9","0.87","0","-1","0","0"
