"PVWatts Hourly PV Performance Data"
"Requested Location","52242, USA"
"Location","Lat, Lng: 41.65, -91.54"
"Latitude (DD)","41.65"
"Longitude (DD)","-91.54"
"Elevation (m)","207.75999450684"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","9.46"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","11","10","42","151","0","4.3","0.87","178.603","2.968","646.455","607.694"
"1","11","11","43","180","0","4.2","0.87","212.395","3.575","768.06","724.991"
"1","11","12","74","192","0","4.1","0.87","244.199","4.171","885.437","838.208"
"1","11","13","43","166","0","3.9","0.87","196.368","3.452","710.162","669.144"
"1","11","14","12","121","0","3.2","0.87","127.684","2.501","457.587","425.518"
"1","11","15","611","60","-1","1.9","0.87","267.197","5.528","909.965","861.867"
"1","11","16","274","23","-2","1.1","0.87","68.826","-0.439","127.609","107.233"
"1","11","17","0","0","-3","1","0.87","0","-3","0","0"
"1","11","18","0","0","-3","1","0.87","0","-3","0","0"
"1","11","19","0","0","-3","1.2","0.87","0","-3","0","0"
"1","11","20","0","0","-3","1.5","0.87","0","-3","0","0"
"1","11","21","0","0","-3","1.8","0.87","0","-3","0","0"
"1","11","22","0","0","-3","2.1","0.87","0","-3","0","0"
"1","11","23","0","0","-3","2.1","0.87","0","-3","0","0"
"1","12","0","0","0","-3","2.1","0.87","0","-3","0","0"
"1","12","1","0","0","-2","2.5","0.87","0","-2","0","0"
"1","12","2","0","0","-2","2.9","0.87","0","-2","0","0"
"1","12","3","0","0","-2","2.8","0.87","0","-2","0","0"
"1","12","4","0","0","-2","2.4","0.87","0","-2","0","0"
"1","12","5","0","0","-2","1.9","0.87","0","-2","0","0"
"1","12","6","0","0","-3","1.5","0.87","0","-3","0","0"
"1","12","7","0","0","-2","1.8","0.87","0","-2","0","0"
"1","12","8","506","42","0","1.9","0.87","175.421","4.173","543.814","508.69"
"1","12","9","0","98","0","1.5","0.87","98.799","2.675","350.594","322.317"
"1","12","10","121","162","1","1.5","0.87","235.537","7.389","849.036","803.097"
"1","12","11","10","158","2","1.9","0.87","165.001","6.094","585.168","548.579"
"1","12","12","99","197","3","2.6","0.87","264.602","8.744","946.564","897.169"
"1","12","13","4","143","2","3.1","0.87","146","4.904","518.63","484.399"
"1","12","14","0","82","1","3","0.87","81.116","2.642","285.887","259.903"
"1","12","15","354","96","0","2.6","0.87","223.677","4.799","774.435","731.139"
"1","12","16","62","27","0","2.9","0.87","40.15","0.687","84.257","65.417"
"1","12","17","0","0","0","3.4","0.87","0","0","0","0"
"1","12","18","0","0","-1","3.5","0.87","0","-1","0","0"
"1","12","19","0","0","-1","3.6","0.87","0","-1","0","0"
"1","12","20","0","0","-1","3.9","0.87","0","-1","0","0"
"1","12","21","0","0","-2","4.2","0.87","0","-2","0","0"
"1","12","22","0","0","-2","4.5","0.87","0","-2","0","0"
"1","12","23","0","0","-3","4.5","0.87","0","-3","0","0"
"1","13","0","0","0","-3","4.3","0.87","0","-3","0","0"
"1","13","1","0","0","-4","4","0.87","0","-4","0","0"
"1","13","2","0","0","-4","4.2","0.87","0","-4","0","0"
"1","13","3","0","0","-4","4.6","0.87","0","-4","0","0"
"1","13","4","0","0","-4","4.8","0.87","0","-4","0","0"
"1","13","5","0","0","-5","4.9","0.87","0","-5","0","0"
"1","13","6","0","0","-5","4.7","0.87","0","-5","0","0"
"1","13","7","0","0","-5","4.9","0.87","0","-5","0","0"
"1","13","8","418","54","-4","5.3","0.87","165.918","-1.669","533.708","498.942"
"1","13","9","653","86","-3","5.3","0.87","360.829","2.251","1315.438","1252.973"
"1","13","10","764","104","-2","5.1","0.87","513.625","5.727","1918.564","1834.728"
"1","13","11","814","113","-1","5.1","0.87","603.867","8.078","2232.954","2137.978"
"1","13","12","355","177","-1","5.2","0.87","404.46","4.991","1493.005","1424.248"
"1","13","13","786","112","-1","5.2","0.87","564.894","7.391","2095.939","2005.817"
"1","13","14","323","124","-1","5","0.87","285.33","3.33","1050.003","996.943"
"1","13","15","182","81","-2","4.3","0.87","149.499","0.461","524.946","490.491"
"1","13","16","39","24","-3","3.3","0.87","31.993","-2.483","68.684","50.396"
"1","13","17","0","0","-4","3.2","0.87","0","-4","0","0"
"1","13","18","0","0","-4","3.7","0.87","0","-4","0","0"
"1","13","19","0","0","-4","3.8","0.87","0","-4","0","0"
"1","13","20","0","0","-4","3.6","0.87","0","-4","0","0"
"1","13","21","0","0","-4","3.5","0.87","0","-4","0","0"
"1","13","22","0","0","-5","3.6","0.87","0","-5","0","0"
"1","13","23","0","0","-5","3.9","0.87","0","-5","0","0"
"1","14","0","0","0","-5","4.1","0.87","0","-5","0","0"
"1","14","1","0","0","-6","4.4","0.87","0","-6","0","0"
"1","14","2","0","0","-6","4.5","0.87","0","-6","0","0"
"1","14","3","0","0","-6","4.7","0.87","0","-6","0","0"
"1","14","4","0","0","-6","5.2","0.87","0","-6","0","0"
"1","14","5","0","0","-7","5.5","0.87","0","-7","0","0"
"1","14","6","0","0","-7","5.6","0.87","0","-7","0","0"
"1","14","7","0","0","-7","5.9","0.87","0","-7","0","0"
"1","14","8","483","52","-7","6.4","0.87","180.5","-4.766","585.387","548.79"
